feature_left,feature_right,spearman_corr,abs_spearman_corr
acc_rms_mean,acc_std_mean,0.9980063026561193,0.9980063026561193
gyro_rms_mean,gyro_std_mean,0.991607177310438,0.991607177310438
acc_energy_per_s_mean,acc_rms_mean,0.9876840954402213,0.9876840954402213
acc_energy_per_s_mean,acc_std_mean,0.9868480288121423,0.9868480288121423
gyro_energy_per_s_mean,gyro_std_mean,0.98369670075246,0.98369670075246
gyro_energy_per_s_mean,gyro_rms_mean,0.9833108238471927,0.9833108238471927
acc_energy_per_s_mean,acc_ptp_mean,0.9543700559521513,0.9543700559521513
acc_ptp_mean,acc_std_mean,0.9498038459064891,0.9498038459064891
acc_ptp_mean,acc_rms_mean,0.9468132998906682,0.9468132998906682
acc_spectral_centroid_mean,acc_spectral_entropy_mean,0.9261367290500997,0.9261367290500997
acc_band_15_30_power_mean,acc_spectral_entropy_mean,0.9158788346517461,0.9158788346517461
gyro_energy_per_s_mean,gyro_ptp_mean,0.910958904109589,0.910958904109589
gyro_ptp_mean,gyro_std_mean,0.9107016528394108,0.9107016528394108
acc_band_15_30_power_mean,acc_spectral_centroid_mean,0.9106051836130941,0.9106051836130941
acc_p95_abs_mean,acc_rms_mean,0.9051707505305807,0.9051707505305807
gyro_ptp_mean,gyro_rms_mean,0.9021480481059875,0.9021480481059875
acc_p95_abs_mean,acc_std_mean,0.9017621712007203,0.9017621712007203
acc_energy_per_s_mean,acc_p95_abs_mean,0.8961026432568011,0.8961026432568011
gyro_energy_per_s_mean,gyro_p95_abs_mean,0.8833365489742105,0.8833365489742105
gyro_p95_abs_mean,gyro_rms_mean,0.8822753874847257,0.8822753874847257
gyro_p95_abs_mean,gyro_std_mean,0.8745578493793813,0.8745578493793813
